bin_type,bin,count,coverage
L_true,0.00-0.10,3092,0.9446959896507116
L_true,0.10-0.20,1070,0.9196261682242991
L_true,0.20-0.30,310,0.5419354838709678
L_true,0.30-0.40,400,0.7725
L_true,0.40-0.50,265,0.7132075471698113
L_true,0.50-0.60,335,0.8805970149253731
L_true,0.60-0.70,699,0.9527896995708155
L_true,0.70-0.80,256,0.9375
L_true,0.80-0.90,335,0.9940298507462687
L_true,0.90-1.00,102,0.9509803921568627
I,0.00-0.20,1854,0.3705501618122977
I,0.20-0.40,2709,0.05832410483573274
I,0.40-0.60,1318,0.1047040971168437
I,0.60-0.80,867,0.12226066897347174
I,0.80-1.00,115,0.02608695652173913
