bin,n,coverage,mpiw,true_mean,pred_mean,method,group_by
"(-0.001, 0.1]",3092,0.9424320827943079,0.12335513035042044,0.03503213097119987,0.05172756832875162,Split CP,true_L
"(0.1, 0.2]",1070,0.9233644859813084,0.15732339161588785,0.1375656273046729,0.13166743358691588,Split CP,true_L
"(0.2, 0.3]",310,0.5516129032258065,0.15653760327096775,0.24862134748387096,0.19392910280967743,Split CP,true_L
"(0.3, 0.4]",400,0.775,0.1589199829125,0.34855640955,0.312162608595,Split CP,true_L
"(0.4, 0.5]",265,0.7169811320754716,0.1593865006754717,0.43612964867924525,0.38623644313207545,Split CP,true_L
"(0.5, 0.6]",335,0.8805970149253731,0.15984253486268657,0.5506990609850746,0.5214145267731343,Split CP,true_L
"(0.6, 0.7]",699,0.9542203147353362,0.160007326,0.6466061763948497,0.6337408400143062,Split CP,true_L
"(0.7, 0.8]",256,0.9375,0.160007326,0.75152111234375,0.7433135692578126,Split CP,true_L
"(0.8, 0.9]",335,0.9940298507462687,0.160007326,0.846523046835821,0.8454327049850746,Split CP,true_L
"(0.9, 1.0]",102,0.9411764705882353,0.1441674148627451,0.9325616416666667,0.9136085941666667,Split CP,true_L
"(-0.001, 0.1]",3092,0.9450194049159121,0.12101479311594437,0.03503213097119987,0.05172756832875162,Irradiance-Mondrian CP,true_L
"(0.1, 0.2]",1070,0.9242990654205607,0.1618634866728972,0.1375656273046729,0.13166743358691588,Irradiance-Mondrian CP,true_L
"(0.2, 0.3]",310,0.5483870967741935,0.15969971160645163,0.24862134748387096,0.19392910280967743,Irradiance-Mondrian CP,true_L
"(0.3, 0.4]",400,0.78,0.152668692785,0.34855640955,0.312162608595,Irradiance-Mondrian CP,true_L
"(0.4, 0.5]",265,0.7132075471698113,0.1606712292490566,0.43612964867924525,0.38623644313207545,Irradiance-Mondrian CP,true_L
"(0.5, 0.6]",335,0.8895522388059701,0.17167103708656717,0.5506990609850746,0.5214145267731343,Irradiance-Mondrian CP,true_L
"(0.6, 0.7]",699,0.9599427753934192,0.17312605504148781,0.6466061763948497,0.6337408400143062,Irradiance-Mondrian CP,true_L
"(0.7, 0.8]",256,0.9453125,0.17376913157031249,0.75152111234375,0.7433135692578126,Irradiance-Mondrian CP,true_L
"(0.8, 0.9]",335,0.9940298507462687,0.16918780160597016,0.846523046835821,0.8454327049850746,Irradiance-Mondrian CP,true_L
"(0.9, 1.0]",102,0.9803921568627451,0.15781175944117648,0.9325616416666667,0.9136085941666667,Irradiance-Mondrian CP,true_L
"(-0.001, 0.1]",3092,0.9505174644243208,0.1302621317611578,0.03503213097119987,0.05172756832875162,Pred-L-Mondrian CP,true_L
"(0.1, 0.2]",1070,0.9485981308411215,0.1731103657728972,0.1375656273046729,0.13166743358691588,Pred-L-Mondrian CP,true_L
"(0.2, 0.3]",310,0.6,0.2090230114516129,0.24862134748387096,0.19392910280967743,Pred-L-Mondrian CP,true_L
"(0.3, 0.4]",400,0.8125,0.24464828546749995,0.34855640955,0.312162608595,Pred-L-Mondrian CP,true_L
"(0.4, 0.5]",265,0.7849056603773585,0.20360805693207548,0.43612964867924525,0.38623644313207545,Pred-L-Mondrian CP,true_L
"(0.5, 0.6]",335,0.8656716417910447,0.17387657585970148,0.5506990609850746,0.5214145267731343,Pred-L-Mondrian CP,true_L
"(0.6, 0.7]",699,0.9256080114449213,0.08401999534477836,0.6466061763948497,0.6337408400143062,Pred-L-Mondrian CP,true_L
"(0.7, 0.8]",256,0.82421875,0.07879874951562513,0.75152111234375,0.7433135692578126,Pred-L-Mondrian CP,true_L
"(0.8, 0.9]",335,0.9731343283582089,0.09078660782089568,0.846523046835821,0.8454327049850746,Pred-L-Mondrian CP,true_L
"(0.9, 1.0]",102,0.8921568627450981,0.09003650020588248,0.9325616416666667,0.9136085941666667,Pred-L-Mondrian CP,true_L
"(-0.001, 0.2]",1831,0.9404696886947024,0.14230354410142,0.22487910744224301,0.22802580530786454,Split CP,irradiance
"(0.2, 0.4]",2714,0.9380987472365512,0.13827617716319088,0.24126673165047935,0.23889696238942518,Split CP,irradiance
"(0.4, 0.6]",1327,0.8440090429540317,0.14657496325727204,0.32537291914390504,0.3160243727267521,Split CP,irradiance
"(0.6, 0.8]",874,0.8272311212814645,0.15019182440446224,0.3118905943061099,0.303023613451373,Split CP,irradiance
"(0.8, 1.0]",117,0.7863247863247863,0.14506499564102565,0.20673990474615386,0.19101353773504273,Split CP,irradiance
"(-0.001, 0.2]",1831,0.9175314036045876,0.12356254364811575,0.22487910744224301,0.22802580530786454,Irradiance-Mondrian CP,irradiance
"(0.2, 0.4]",2714,0.9148857774502579,0.1114115383017318,0.24126673165047935,0.23889696238942518,Irradiance-Mondrian CP,irradiance
"(0.4, 0.6]",1327,0.8922381311228335,0.1958805366453655,0.32537291914390504,0.3160243727267521,Irradiance-Mondrian CP,irradiance
"(0.6, 0.8]",874,0.8901601830663616,0.21000793389187644,0.3118905943061099,0.303023613451373,Irradiance-Mondrian CP,irradiance
"(0.8, 1.0]",117,0.8547008547008547,0.20559610893162392,0.20673990474615386,0.19101353773504273,Irradiance-Mondrian CP,irradiance
"(-0.001, 0.2]",1831,0.9497542326597488,0.15492498197853632,0.22487910744224301,0.22802580530786454,Pred-L-Mondrian CP,irradiance
"(0.2, 0.4]",2714,0.9447310243183493,0.13805457340932206,0.24126673165047935,0.23889696238942518,Pred-L-Mondrian CP,irradiance
"(0.4, 0.6]",1327,0.8409947249434815,0.13588504160693296,0.32537291914390504,0.3160243727267521,Pred-L-Mondrian CP,irradiance
"(0.6, 0.8]",874,0.8283752860411899,0.14332477992848972,0.3118905943061099,0.303023613451373,Pred-L-Mondrian CP,irradiance
"(0.8, 1.0]",117,0.8034188034188035,0.147538214965812,0.20673990474615386,0.19101353773504273,Pred-L-Mondrian CP,irradiance
