filename,y_true,pred_mean,pred_std,I,abs_error,lower_mc_90,upper_mc_90,width_mc_90,covered_mc_90,lower_mc_95,upper_mc_95,width_mc_95,covered_mc_95,lower_mc_conf_80,upper_mc_conf_80,width_mc_conf_80,covered_mc_conf_80,lower_mc_conf_90,upper_mc_conf_90,width_mc_conf_90,covered_mc_conf_90,lower_mc_conf_95,upper_mc_conf_95,width_mc_conf_95,covered_mc_conf_95,filename_for_use,image_path,candidate_group,case_id,selected,final_group
solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,0.008598624,0.008585018,0.0041427747,0.29416472,1.360599999999934e-05,0.0017701536,0.015399883,0.013629729,1,0.0004651798,0.016704857,0.016239677,1,0.0,0.0222920653189402,0.0222920653189402,1,0.0,0.0299883412661296,0.0299883412661296,1,0.0,0.0429351701740641,0.0429351701740641,1,solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,Clean reliable,clean_000,1,Clean reliable
solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,0.0032995252,0.003354951,0.0018517461,0.2733608,5.542580000000028e-05,0.00030882866,0.006401073,0.0060922448,1,0.0,0.0069843736,0.0069843736,1,0.0,0.0094835849874322,0.0094835849874322,1,0.0,0.0129247096329587,0.0129247096329587,1,0.0,0.01871343814818,0.01871343814818,1,solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,Clean reliable,clean_002,1,Clean reliable
solar_Sun_Jun_25_11__4__39_2017_L_0.00883761152475_I_0.371850980392.jpg,0.008837611,0.008683932,0.0053986013,0.37185097,0.000153679,0.0,0.017564632,0.017564632,1,0.0,0.01926519,0.01926519,1,0.0,0.0265450841814907,0.0265450841814907,1,0.0,0.0365738199642548,0.0365738199642548,1,0.0,0.0534443593307316,0.0534443593307316,1,solar_Sun_Jun_25_11__4__39_2017_L_0.00883761152475_I_0.371850980392.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__4__39_2017_L_0.00883761152475_I_0.371850980392.jpg,Clean reliable,clean_006,1,Clean reliable
solar_Fri_Jun_23_10__6__59_2017_L_0.976028532201_I_0.496996078431.jpg,0.97602856,0.952234,0.013322646,0.49699607,0.02379456,0.9303183,0.97414976,0.043831468,0,0.92612165,0.9783464,0.052224755,1,0.9081611776569298,0.9963068223430702,0.0881456446861403,1,0.8834150310484605,1.0,0.1165849689515394,1,0.8417865696381706,1.0,0.1582134303618294,1,solar_Fri_Jun_23_10__6__59_2017_L_0.976028532201_I_0.496996078431.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Fri_Jun_23_10__6__59_2017_L_0.976028532201_I_0.496996078431.jpg,Heavy success,heavy_000,1,Heavy success
solar_Fri_Jun_23_10__1__0_2017_L_0.965732677016_I_0.352133333333.jpg,0.9657327,0.9491943,0.013800774,0.35213333,0.0165383999999999,0.92649204,0.9718966,0.045404553,1,0.9221448,0.97624385,0.054099083,1,0.9035398947777956,0.9948487052222046,0.091308810444409,1,0.8779057160506694,1.0,0.1220942839493306,1,0.8347833892977262,1.0,0.1652166107022737,1,solar_Fri_Jun_23_10__1__0_2017_L_0.965732677016_I_0.352133333333.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Fri_Jun_23_10__1__0_2017_L_0.965732677016_I_0.352133333333.jpg,Heavy success,heavy_008,1,Heavy success
solar_Fri_Jun_23_10__2__36_2017_L_0.964692370297_I_0.515580392157.jpg,0.96469235,0.96236426,0.010265834,0.5155804,0.00232809,0.94547695,0.97925156,0.033774614,1,0.9422432,0.9824853,0.040242076,1,0.9284029590987456,0.9963255609012542,0.0679226018025085,1,0.9093342612836868,1.0,0.0906657387163131,1,0.8772565174758093,1.0,0.1227434825241906,1,solar_Fri_Jun_23_10__2__36_2017_L_0.964692370297_I_0.515580392157.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Fri_Jun_23_10__2__36_2017_L_0.964692370297_I_0.515580392157.jpg,Heavy success,heavy_010,1,Heavy success
solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,0.4981845,0.544168,0.036459398,0.52057254,0.0459835,0.48419228,0.6041437,0.1199514,1,0.47270757,0.6156284,0.14292085,1,0.4235619253856166,0.6647740746143833,0.2412121492287666,1,0.3558436480979177,0.7324923519020823,0.3766487038041646,1,0.2419266113388494,0.8464093886611506,0.6044827773223012,1,solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,High uncertainty,unc_001,1,High uncertainty
solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,0.611204,0.635591,0.03484074,0.6284157,0.024387,0.57827795,0.692904,0.11462605,1,0.5673031,0.7038788,0.1365757,1,0.5203392275389603,0.7508427724610397,0.2305035449220793,1,0.4556273006284008,0.8155546993715992,0.3599273987431983,1,0.3467676064382852,0.9244143935617148,0.5776467871234297,1,solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,High uncertainty,unc_003,1,High uncertainty
solar_Wed_Jun_14_11__55__19_2017_L_0.19343690897_I_0.792070588235.jpg,0.1934369,0.19468684,0.034136105,0.79207057,0.00124994,0.13853295,0.25084072,0.11230777,1,0.12778008,0.2615936,0.13381353,1,0.0817659049967935,0.3076077750032064,0.2258418700064129,1,0.0183627040172185,0.3710109759827814,0.3526482719655628,1,0.0,0.4776691053080064,0.4776691053080064,1,solar_Wed_Jun_14_11__55__19_2017_L_0.19343690897_I_0.792070588235.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_11__55__19_2017_L_0.19343690897_I_0.792070588235.jpg,High uncertainty,unc_004,1,High uncertainty
solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,0.98543996,0.034821525,0.010365892,0.5505255,0.950618435,0.017769633,0.051873416,0.03410378,0,0.014504377,0.055138674,0.040634297,0,0.0005292457420705,0.0691138042579294,0.0685845585158589,0,0.0,0.0883683408394453,0.0883683408394453,0,0.0,0.1207587063269886,0.1207587063269886,0,solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,Failure case,fail_000,1,Failure case
