coverage,retained_n,retained_mae,retained_rmse,method,risk_col
0.1,686,0.01701611661778426,0.034730964890346314,Raw MC,raw_mc_width
0.15000000000000002,1029,0.017712100219067058,0.03441308816098163,Raw MC,raw_mc_width
0.2,1372,0.018513953477939507,0.035630468574981436,Raw MC,raw_mc_width
0.25,1716,0.01969081609530944,0.03840640369324582,Raw MC,raw_mc_width
0.30000000000000004,2059,0.020391964650627006,0.043320828140494025,Raw MC,raw_mc_width
0.35,2402,0.02054257685766861,0.04268061488912823,Raw MC,raw_mc_width
0.4,2745,0.020948507428418944,0.043372230438204804,Raw MC,raw_mc_width
0.45000000000000007,3088,0.021341571405825776,0.043510192369682996,Raw MC,raw_mc_width
0.5,3432,0.02215867098995921,0.04448661349953052,Raw MC,raw_mc_width
0.55,3775,0.022965968747904637,0.04538197209089959,Raw MC,raw_mc_width
0.6,4118,0.023781622617588632,0.046396074819210216,Raw MC,raw_mc_width
0.65,4461,0.02461091920815512,0.04790786305653417,Raw MC,raw_mc_width
0.7000000000000001,4804,0.025504684133249376,0.04958606321391888,Raw MC,raw_mc_width
0.75,5148,0.0263627248583819,0.05049241343168301,Raw MC,raw_mc_width
0.8,5491,0.027790600831442358,0.053122101362054426,Raw MC,raw_mc_width
0.85,5834,0.0292583307666181,0.056358424542863515,Raw MC,raw_mc_width
0.9,6177,0.030392969069005994,0.05808394897527415,Raw MC,raw_mc_width
0.9500000000000001,6520,0.03168962107141871,0.05952167181579073,Raw MC,raw_mc_width
1.0,6864,0.03395800975354749,0.06399190454009,Raw MC,raw_mc_width
0.1,686,0.011604298303498541,0.01874268393887811,Split CP,split_width
0.15000000000000002,1029,0.013472110557249756,0.022518276874150468,Split CP,split_width
0.2,1372,0.015806227497843293,0.03157421427150372,Split CP,split_width
0.25,1716,0.01882199004018648,0.04396842106473893,Split CP,split_width
0.30000000000000004,2059,0.0215805549663526,0.04689549104266198,Split CP,split_width
