epoch,learning_rate,train_loss,train_mae,train_rmse,train_r2,train_sample_count,train_duration_seconds,train_samples_per_second,validation_loss,validation_mae,validation_rmse,validation_r2,validation_sample_count,validation_duration_seconds,validation_samples_per_second,epoch_duration_seconds,epoch_samples_per_second,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,non_finite_detected,gpu_temperature_min_c,gpu_temperature_max_c,gpu_sm_clock_min_mhz,gpu_sm_clock_max_mhz,gpu_thermal_slowdown_observed,gpu_power_brake_slowdown_observed,improved
1,0.0001,0.010019818023819214,0.056924226892723036,0.10009904085689862,0.8726366860748512,19603,150.91598779999185,129.8934611618469,0.022126887149406627,0.09867640471557193,0.14875109135398723,0.3587965681758476,6113,38.48431880000862,158.84391852607328,189.551661599995,135.66749973560073,1812708864,2290089984,False,67.0,84.0,210.0,1920.0,True,False,True
2,0.0001,0.006338650916231351,0.044361383189791694,0.07961564492368917,0.9194285177506976,19603,108.63860340000247,180.4423049127632,0.026101629457501403,0.10398951437296165,0.1615599867913823,0.2436146047789759,6113,12.11738029999833,504.48197949195685,120.95823080000991,212.60231593927952,1812577792,2136997888,False,77.0,85.0,1642.0,1905.0,True,False,False
3,0.0001,0.005900573143640035,0.04264368376475999,0.07681518819585618,0.9249969859409924,19603,109.87410990000353,178.413276957062,0.021518830968222144,0.10082683503600266,0.14669298209156623,0.37641710868945544,6113,12.046048699994572,507.4693081726255,122.1025282000046,210.60988973035066,1812577792,2136997888,False,84.0,85.0,1530.0,1672.0,True,False,True
4,0.0001,0.005881117802513892,0.04220009717082595,0.07668844622963453,0.925244285659046,19603,110.15505580000172,177.95824129571812,0.02633648801953531,0.11084166221774547,0.16228520584371475,0.2368087578656115,6113,12.089733699991484,505.6356204110853,122.41466770000989,210.0728653123479,1812577792,2136997888,False,82.0,85.0,1642.0,1897.0,True,False,False
5,0.0001,0.005675145808087779,0.04162191999650747,0.07533356352978837,0.9278624245716545,19603,110.37405289999151,177.60514799399476,0.019996549084748284,0.09061873422422703,0.14140915511328167,0.4205305140393588,6113,12.071006400001352,506.42007778235586,122.61055910000869,209.7372378754464,1812577792,2136997888,False,84.0,85.0,1642.0,1657.0,True,False,True
6,0.0001,0.0055562352705280345,0.04112938979827283,0.07454015875383645,0.9293739129854294,19603,110.32586029999948,177.68272956762155,0.021562409362415096,0.10189928198528415,0.1468414430232866,0.37515427331107865,6113,12.158692099998007,502.76789228020687,122.6421440999984,209.68322258808533,1812577792,2136997888,False,80.0,85.0,1657.0,1762.0,True,False,False
7,0.0001,0.005482918721880411,0.040717044698413085,0.0740467333324676,0.9303058499498603,19603,110.53854429999774,177.34085539246965,0.02517828775385109,0.10899711097778386,0.15867667699373755,0.27037163301944744,6113,12.165411299996777,502.4902035167212,122.87456920000841,209.28659337263613,1812577792,2136997888,False,84.0,85.0,1657.0,1702.0,True,False,False
8,5e-05,0.005344892598576528,0.04046788864038082,0.07310877242697973,0.9320603192420317,19603,110.59058859999641,177.2573981941953,0.0229284435843675,0.09525052860027504,0.1514214102499337,0.3355686894337965,6113,12.09524059999967,505.4054071483429,122.84522540000034,209.33658525404869,1812577792,2136997888,False,84.0,85.0,1642.0,1687.0,True,False,False
9,5e-05,0.0050499672805350265,0.039044454732436014,0.0710631219458126,0.93580915622594,19603,110.3916748000047,177.57679676039453,0.024052442561084873,0.1115675642819932,0.15508849894383875,0.3029969126261848,6113,12.126428100003977,504.1055741713419,122.67008050000004,209.63547015851182,1812577792,2136997888,False,84.0,85.0,1627.0,1725.0,True,False,False
10,5e-05,0.00497615723300822,0.03869842130690402,0.07054188304859862,0.9367473659704825,19603,110.50863520000712,177.3888525952833,0.02158402715299724,0.1021988017837504,0.14691503423434113,0.37452781969846094,6113,12.093772899999749,505.4667431368855,122.7713453000033,209.4625577097045,1812577792,2136997888,False,84.0,85.0,1627.0,1710.0,True,False,False
11,2.5e-05,0.0048694179315744825,0.03875827378520143,0.06978121471867638,0.9381041446704708,19603,110.38279959998908,177.59107461523325,0.02291153575549365,0.10733513751033463,0.1513655696211841,0.3360586521261799,6113,12.079708800010849,506.0552453047966,122.6157882999978,209.7282932038244,1812577792,2136997888,False,85.0,85.0,1642.0,1665.0,True,False,False
12,2.5e-05,0.004627203187923163,0.03772865534240894,0.06802354861710037,0.9411829705255818,19603,110.63522879999073,177.1858766201751,0.023148856524855835,0.10898016779929184,0.15214748355917507,0.3291814491120696,6113,12.122145000001183,504.283689066531,122.91146679999656,209.22376625645086,1812577792,2136997888,False,85.0,85.0,1635.0,1665.0,True,False,False
13,2.5e-05,0.004547645002939896,0.037461050834221576,0.06743622922595195,0.9421942454004872,19603,110.64404499999364,177.17175831741443,0.02201538319284614,0.09910150012177729,0.14837581736671035,0.3620277839691799,6113,12.14244840000174,503.44047581039126,122.93369510000048,209.1859353863992,1812577792,2136997888,False,84.0,85.0,1590.0,1665.0,True,False,False
