case_index,case_id,filename,group,image_path,I_value,y_true,pred_in_csv,pred_runtime,abs_error,width_mc_conf_90,lower_mc_conf_90,upper_mc_conf_90,target_layer,original_png,heatmap_png,overlay_png
0,clean_000,solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,Clean reliable,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,0.29416472,0.008598624,0.008585018,0.00883833970874548,1.360599999999934e-05,0.0299883412661296,0.0,0.0299883412661296,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\00_clean_000_solar_Tue_Jun_27_14__59__39_2017_L_0_00859862422012_I_0_294164705882_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\00_clean_000_solar_Tue_Jun_27_14__59__39_2017_L_0_00859862422012_I_0_294164705882_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\00_clean_000_solar_Tue_Jun_27_14__59__39_2017_L_0_00859862422012_I_0_294164705882_overlay.png
1,clean_002,solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,Clean reliable,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,0.2733608,0.0032995252,0.003354951,0.0031058297026902437,5.542580000000028e-05,0.0129247096329587,0.0,0.0129247096329587,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\01_clean_002_solar_Sun_Jun_25_11__40__57_2017_L_0_00329952515529_I_0_273360784314_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\01_clean_002_solar_Sun_Jun_25_11__40__57_2017_L_0_00329952515529_I_0_273360784314_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\01_clean_002_solar_Sun_Jun_25_11__40__57_2017_L_0_00329952515529_I_0_273360784314_overlay.png
2,clean_006,solar_Sun_Jun_25_11__4__39_2017_L_0.00883761152475_I_0.371850980392.jpg,Clean reliable,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__4__39_2017_L_0.00883761152475_I_0.371850980392.jpg,0.37185097,0.008837611,0.008683932,0.007216630969196558,0.000153679,0.0365738199642548,0.0,0.0365738199642548,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\02_clean_006_solar_Sun_Jun_25_11__4__39_2017_L_0_00883761152475_I_0_371850980392_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\02_clean_006_solar_Sun_Jun_25_11__4__39_2017_L_0_00883761152475_I_0_371850980392_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\02_clean_006_solar_Sun_Jun_25_11__4__39_2017_L_0_00883761152475_I_0_371850980392_overlay.png
3,heavy_000,solar_Fri_Jun_23_10__6__59_2017_L_0.976028532201_I_0.496996078431.jpg,Heavy success,E:\PV_RL_Project\data\raw\PanelImages\solar_Fri_Jun_23_10__6__59_2017_L_0.976028532201_I_0.496996078431.jpg,0.49699607,0.97602856,0.952234,0.9528828859329224,0.02379456,0.1165849689515394,0.8834150310484605,1.0,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\03_heavy_000_solar_Fri_Jun_23_10__6__59_2017_L_0_976028532201_I_0_496996078431_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\03_heavy_000_solar_Fri_Jun_23_10__6__59_2017_L_0_976028532201_I_0_496996078431_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\03_heavy_000_solar_Fri_Jun_23_10__6__59_2017_L_0_976028532201_I_0_496996078431_overlay.png
4,heavy_008,solar_Fri_Jun_23_10__1__0_2017_L_0.965732677016_I_0.352133333333.jpg,Heavy success,E:\PV_RL_Project\data\raw\PanelImages\solar_Fri_Jun_23_10__1__0_2017_L_0.965732677016_I_0.352133333333.jpg,0.35213333,0.9657327,0.9491943,0.9512794613838196,0.0165383999999999,0.1220942839493306,0.8779057160506694,1.0,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\04_heavy_008_solar_Fri_Jun_23_10__1__0_2017_L_0_965732677016_I_0_352133333333_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\04_heavy_008_solar_Fri_Jun_23_10__1__0_2017_L_0_965732677016_I_0_352133333333_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\04_heavy_008_solar_Fri_Jun_23_10__1__0_2017_L_0_965732677016_I_0_352133333333_overlay.png
5,heavy_010,solar_Fri_Jun_23_10__2__36_2017_L_0.964692370297_I_0.515580392157.jpg,Heavy success,E:\PV_RL_Project\data\raw\PanelImages\solar_Fri_Jun_23_10__2__36_2017_L_0.964692370297_I_0.515580392157.jpg,0.5155804,0.96469235,0.96236426,0.9614285230636597,0.00232809,0.0906657387163131,0.9093342612836868,1.0,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\05_heavy_010_solar_Fri_Jun_23_10__2__36_2017_L_0_964692370297_I_0_515580392157_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\05_heavy_010_solar_Fri_Jun_23_10__2__36_2017_L_0_964692370297_I_0_515580392157_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\05_heavy_010_solar_Fri_Jun_23_10__2__36_2017_L_0_964692370297_I_0_515580392157_overlay.png
6,unc_001,solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,High uncertainty,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,0.52057254,0.4981845,0.544168,0.541490375995636,0.0459835,0.3766487038041646,0.3558436480979177,0.7324923519020823,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\06_unc_001_solar_Tue_Jun_20_10__6__59_2017_L_0_498184502735_I_0_52057254902_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\06_unc_001_solar_Tue_Jun_20_10__6__59_2017_L_0_498184502735_I_0_52057254902_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\06_unc_001_solar_Tue_Jun_20_10__6__59_2017_L_0_498184502735_I_0_52057254902_overlay.png
7,unc_003,solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,High uncertainty,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,0.6284157,0.611204,0.635591,0.6317996978759766,0.024387,0.3599273987431983,0.4556273006284008,0.8155546993715992,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\07_unc_003_solar_Tue_Jun_27_11__3__21_2017_L_0_611204023813_I_0_628415686275_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\07_unc_003_solar_Tue_Jun_27_11__3__21_2017_L_0_611204023813_I_0_628415686275_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\07_unc_003_solar_Tue_Jun_27_11__3__21_2017_L_0_611204023813_I_0_628415686275_overlay.png
8,unc_004,solar_Wed_Jun_14_11__55__19_2017_L_0.19343690897_I_0.792070588235.jpg,High uncertainty,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_11__55__19_2017_L_0.19343690897_I_0.792070588235.jpg,0.79207057,0.1934369,0.19468684,0.19865782558918,0.00124994,0.3526482719655628,0.0183627040172185,0.3710109759827814,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\08_unc_004_solar_Wed_Jun_14_11__55__19_2017_L_0_19343690897_I_0_792070588235_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\08_unc_004_solar_Wed_Jun_14_11__55__19_2017_L_0_19343690897_I_0_792070588235_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\08_unc_004_solar_Wed_Jun_14_11__55__19_2017_L_0_19343690897_I_0_792070588235_overlay.png
9,fail_000,solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,Failure case,E:\PV_RL_Project\data\raw\PanelImages\solar_Mon_Jun_26_10__13__11_2017_L_0.985439936175_I_0.550525490196.jpg,0.5505255,0.98543996,0.034821525,0.03353050351142883,0.950618435,0.0883683408394453,0.0,0.0883683408394453,layer4[-1],E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\09_fail_000_solar_Mon_Jun_26_10__13__11_2017_L_0_985439936175_I_0_550525490196_original.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\09_fail_000_solar_Mon_Jun_26_10__13__11_2017_L_0_985439936175_I_0_550525490196_heatmap.png,E:\PV_RL_Project\outputs\mc_conformal_resnet50_with_i\gradcam_representative_cases\09_fail_000_solar_Mon_Jun_26_10__13__11_2017_L_0_985439936175_I_0_550525490196_overlay.png
