bin_type,bin,count,coverage
L_true,0.00-0.10,3092,0.9501940491591203
L_true,0.10-0.20,1070,0.930841121495327
L_true,0.20-0.30,310,0.6612903225806451
L_true,0.30-0.40,400,0.7925
L_true,0.40-0.50,265,0.6264150943396226
L_true,0.50-0.60,335,0.7134328358208956
L_true,0.60-0.70,699,0.927038626609442
L_true,0.70-0.80,256,0.94921875
L_true,0.80-0.90,335,0.9940298507462687
L_true,0.90-1.00,102,0.9803921568627451
I,0.00-0.20,1854,0.9325782092772384
I,0.20-0.40,2709,0.9265411590992987
I,0.40-0.60,1318,0.8399089529590288
I,0.60-0.80,867,0.8558246828143022
I,0.80-1.00,116,0.8362068965517241
