filename,y_true,pred_mean,pred_std,I,abs_error,lower_mc_90,upper_mc_90,width_mc_90,covered_mc_90,lower_mc_95,upper_mc_95,width_mc_95,covered_mc_95,lower_mc_conf_80,upper_mc_conf_80,width_mc_conf_80,covered_mc_conf_80,lower_mc_conf_90,upper_mc_conf_90,width_mc_conf_90,covered_mc_conf_90,lower_mc_conf_95,upper_mc_conf_95,width_mc_conf_95,covered_mc_conf_95,filename_for_use,image_path,candidate_group,case_id,selected,final_group
solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,0.008598624,0.008585018,0.0041427747,0.29416472,1.360599999999934e-05,0.0017701536,0.015399883,0.013629729,1,0.0004651798,0.016704857,0.016239677,1,0.0,0.0222920653189402,0.0222920653189402,1,0.0,0.0299883412661296,0.0299883412661296,1,0.0,0.0429351701740641,0.0429351701740641,1,solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_14__59__39_2017_L_0.00859862422012_I_0.294164705882.jpg,Clean reliable,clean_000,1,Clean reliable
solar_Sun_Jun_25_9__29__34_2017_L_0.0124372518169_I_0.314047058824.jpg,0.012437251,0.012411702,0.005679074,0.31404707,2.554899999999971e-05,0.0030696252,0.02175378,0.018684156,1,0.0012807166,0.023542687,0.02226197,1,0.0,0.0312006200106925,0.0312006200106925,1,0.0,0.041750280662961,0.041750280662961,1,0.0,0.0594971302352621,0.0594971302352621,1,solar_Sun_Jun_25_9__29__34_2017_L_0.0124372518169_I_0.314047058824.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_9__29__34_2017_L_0.0124372518169_I_0.314047058824.jpg,Clean reliable,clean_001,0,Clean reliable
solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,0.0032995252,0.003354951,0.0018517461,0.2733608,5.542580000000028e-05,0.00030882866,0.006401073,0.0060922448,1,0.0,0.0069843736,0.0069843736,1,0.0,0.0094835849874322,0.0094835849874322,1,0.0,0.0129247096329587,0.0129247096329587,1,0.0,0.01871343814818,0.01871343814818,1,solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__40__57_2017_L_0.00329952515529_I_0.273360784314.jpg,Clean reliable,clean_002,1,Clean reliable
solar_Fri_Jun_16_8__13__21_2017_L_0.0208039199402_I_0.0944392156863.jpg,0.020803919,0.020729268,0.005863784,0.094439216,7.465100000000197e-05,0.011083344,0.030375192,0.019291848,1,0.009236251,0.032222286,0.022986036,1,0.0013293542442247,0.0401291817557752,0.0387998275115505,1,0.0,0.0510219062165576,0.0510219062165576,1,0.0,0.0693458645702759,0.0693458645702759,1,solar_Fri_Jun_16_8__13__21_2017_L_0.0208039199402_I_0.0944392156863.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Fri_Jun_16_8__13__21_2017_L_0.0208039199402_I_0.0944392156863.jpg,Clean reliable,clean_003,0,Clean reliable
solar_Wed_Jun_28_7__4__15_2017_L_0.010621227172_I_0.0513215686275.jpg,0.010621227,0.010710058,0.004388077,0.05132157,8.883099999999929e-05,0.0034916708,0.017928444,0.014436773,1,0.002109426,0.01931069,0.017201263,1,0.0,0.0252285322127684,0.0252285322127684,1,0.0,0.0333804106789075,0.0333804106789075,1,0.0,0.0470936632316465,0.0470936632316465,1,solar_Wed_Jun_28_7__4__15_2017_L_0.010621227172_I_0.0513215686275.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_28_7__4__15_2017_L_0.010621227172_I_0.0513215686275.jpg,Clean reliable,clean_004,0,Clean reliable
solar_Sun_Jun_25_12__9__31_2017_L_0.00747208703121_I_0.273960784314.jpg,0.007472087,0.0075992807,0.003621231,0.2739608,0.00012719370000000008,0.0016423557,0.013556206,0.01191385,1,0.0005016676,0.014696894,0.014195226,1,0.0,0.0195811318651061,0.0195811318651061,1,0.0,0.0263087392614405,0.0263087392614405,1,0.0,0.0376260546121078,0.0376260546121078,1,solar_Sun_Jun_25_12__9__31_2017_L_0.00747208703121_I_0.273960784314.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_12__9__31_2017_L_0.00747208703121_I_0.273960784314.jpg,Clean reliable,clean_005,0,Clean reliable
solar_Sun_Jun_25_11__4__39_2017_L_0.00883761152475_I_0.371850980392.jpg,0.008837611,0.008683932,0.0053986013,0.37185097,0.00015367900000000032,0.0,0.017564632,0.017564632,1,0.0,0.01926519,0.01926519,1,0.0,0.0265450841814907,0.0265450841814907,1,0.0,0.0365738199642548,0.0365738199642548,1,0.0,0.0534443593307316,0.0534443593307316,1,solar_Sun_Jun_25_11__4__39_2017_L_0.00883761152475_I_0.371850980392.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__4__39_2017_L_0.00883761152475_I_0.371850980392.jpg,Clean reliable,clean_006,1,Clean reliable
solar_Mon_Jun_26_13__33__38_2017_L_0.0138927111682_I_0.384741176471.jpg,0.013892711,0.0140707195,0.006519649,0.3847412,0.00017800850000000007,0.0033458965,0.024795543,0.021449648,1,0.0012922073,0.026849233,0.025557026,1,0.0,0.0356401461373121,0.0356401461373121,1,0.0,0.047751015499675,0.047751015499675,1,0.0,0.0681241615038953,0.0681241615038953,1,solar_Mon_Jun_26_13__33__38_2017_L_0.0138927111682_I_0.384741176471.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Mon_Jun_26_13__33__38_2017_L_0.0138927111682_I_0.384741176471.jpg,Clean reliable,clean_007,0,Clean reliable
solar_Mon_Jun_26_13__33__18_2017_L_0.0101096508282_I_0.403419607843.jpg,0.010109651,0.010293145,0.003933083,0.4034196,0.00018349399999999932,0.0038232235,0.016763065,0.0129398415,1,0.0025843023,0.018001987,0.015417684,1,0.0,0.0233065604826608,0.0233065604826608,1,0.0,0.030613373849504,0.030613373849504,1,0.0,0.0429050410365771,0.0429050410365771,1,solar_Mon_Jun_26_13__33__18_2017_L_0.0101096508282_I_0.403419607843.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Mon_Jun_26_13__33__18_2017_L_0.0101096508282_I_0.403419607843.jpg,Clean reliable,clean_008,0,Clean reliable
solar_Sun_Jun_25_11__16__12_2017_L_0.00608765772826_I_0.345282352941.jpg,0.0060876575,0.0063131643,0.004253507,0.34528235,0.00022550679999999972,0.0,0.013310183,0.013310183,1,0.0,0.0146500375,0.0146500375,1,0.0,0.0203864991190389,0.0203864991190389,1,0.0,0.0282884393213498,0.0282884393213498,1,0.0,0.0415812407414197,0.0415812407414197,1,solar_Sun_Jun_25_11__16__12_2017_L_0.00608765772826_I_0.345282352941.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Sun_Jun_25_11__16__12_2017_L_0.00608765772826_I_0.345282352941.jpg,Clean reliable,clean_009,0,Clean reliable
solar_Mon_Jun_26_9__38__38_2017_L_0.0148245132407_I_0.371403921569.jpg,0.014824513,0.015087377,0.0057919286,0.37140393,0.00026286400000000154,0.005559655,0.0246151,0.019055445,1,0.0037351968,0.026439559,0.022704363,1,0.0,0.0342496027926914,0.0342496027926914,1,0.0,0.0450088694699954,0.0450088694699954,1,0.0,0.0631083224784035,0.0631083224784035,1,solar_Mon_Jun_26_9__38__38_2017_L_0.0148245132407_I_0.371403921569.jpg,E:\PV_RL_Project\data\raw\PanelImages\solar_Mon_Jun_26_9__38__38_2017_L_0.0148245132407_I_0.371403921569.jpg,Clean reliable,clean_010,0,Clean reliable
