filename,y_true,pred_mean,pred_std,I,abs_error,lower_mc_90,upper_mc_90,width_mc_90,covered_mc_90,lower_mc_95,upper_mc_95,width_mc_95,covered_mc_95,lower_mc_conf_80,upper_mc_conf_80,width_mc_conf_80,covered_mc_conf_80,lower_mc_conf_90,upper_mc_conf_90,width_mc_conf_90,covered_mc_conf_90,lower_mc_conf_95,upper_mc_conf_95,width_mc_conf_95,covered_mc_conf_95,image_path,group,rank_width,rank_error,reliable_score
solar_Tue_Jun_13_14__25__33_2017_L_0.546514573985_I_0.69651372549.jpg,0.5465146,0.5990131,0.041402314,0.6965137,0.052498500000000003,0.53090626,0.6671199,0.13621366,1,0.5178646,0.6801616,0.16229701,1,0.4620565265263164,0.7359696734736835,0.273913146947367,1,0.3851577198242704,0.8128684801757295,0.4277107603514591,1,0.2557970133699621,0.942229186630038,0.6864321732600758,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_13_14__25__33_2017_L_0.546514573985_I_0.69651372549.jpg,Top uncertainty,,,
solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,0.4981845,0.544168,0.036459398,0.52057254,0.04598350000000001,0.48419228,0.6041437,0.1199514,1,0.47270757,0.6156284,0.14292085,1,0.4235619253856166,0.6647740746143833,0.2412121492287666,1,0.3558436480979177,0.7324923519020823,0.3766487038041646,1,0.2419266113388494,0.8464093886611506,0.6044827773223012,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_20_10__6__59_2017_L_0.498184502735_I_0.52057254902.jpg,Top uncertainty,,,
solar_Sat_Jun_24_16__12__1_2017_L_0.30602117617_I_0.307411764706.jpg,0.30602118,0.41230968,0.035466164,0.30741176,0.10628850000000001,0.35396785,0.4706515,0.11668366,0,0.342796,0.48182335,0.13902736,0,0.2949890893760422,0.5296302706239578,0.2346411812479156,1,0.229115555950535,0.595503804049465,0.36638824809893,1,0.1183017841116235,0.7063175758883764,0.5880157917767528,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sat_Jun_24_16__12__1_2017_L_0.30602117617_I_0.307411764706.jpg,Top uncertainty,,,
solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,0.611204,0.635591,0.03484074,0.6284157,0.024387000000000048,0.57827795,0.692904,0.11462605,1,0.5673031,0.7038788,0.1365757,1,0.5203392275389603,0.7508427724610397,0.2305035449220793,1,0.4556273006284008,0.8155546993715992,0.3599273987431983,1,0.3467676064382852,0.9244143935617148,0.5776467871234297,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Tue_Jun_27_11__3__21_2017_L_0.611204023813_I_0.628415686275.jpg,Top uncertainty,,,
solar_Wed_Jun_14_11__55__19_2017_L_0.19343690897_I_0.792070588235.jpg,0.1934369,0.19468684,0.034136105,0.79207057,0.001249940000000005,0.13853295,0.25084072,0.11230777,1,0.12778008,0.2615936,0.13381353,1,0.0817659049967935,0.3076077750032064,0.2258418700064129,1,0.0183627040172185,0.3710109759827814,0.3526482719655628,1,0.0,0.4776691053080064,0.4776691053080064,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_11__55__19_2017_L_0.19343690897_I_0.792070588235.jpg,Top uncertainty,,,
solar_Wed_Jun_14_12__3__49_2017_L_0.357771535143_I_0.838984313725.jpg,0.35777155,0.25426835,0.03331985,0.8389843,0.10350320000000002,0.1994572,0.3090795,0.1096223,0,0.18896145,0.31957525,0.1306138,0,0.1440474763464903,0.3644892236535096,0.2204417473070192,1,0.0821603142874853,0.4263763857125146,0.3442160714250293,1,0.0,0.530484204126713,0.530484204126713,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_12__3__49_2017_L_0.357771535143_I_0.838984313725.jpg,Top uncertainty,,,
solar_Wed_Jun_21_17__52__52_2017_L_0.735928758991_I_0.0343490196078.jpg,0.7359288,0.43132535,0.03325105,0.03434902,0.30460345000000005,0.37662736,0.48602334,0.10939598,0,0.3661533,0.4964974,0.1303441,0,0.3213320574588377,0.5413186425411622,0.2199865850823245,0,0.25957267835704,0.60307802164296,0.34350534328592,0,0.1556798189822087,0.7069708810177913,0.5512910620355824,0,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_21_17__52__52_2017_L_0.735928758991_I_0.0343490196078.jpg,Top uncertainty,,,
solar_Thu_Jun_29_12__27__24_2017_L_0.644091131456_I_0.561137254902.jpg,0.6440911,0.7726217,0.032330524,0.56113726,0.12853059999999994,0.71943796,0.8258054,0.10636747,0,0.70925385,0.83598953,0.12673569,0,0.6656733832004761,0.8795700167995238,0.2138966335990477,0,0.6056237066345238,0.939619693365476,0.3339959867309523,1,0.5046069429671415,1.0,0.4953930570328585,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Thu_Jun_29_12__27__24_2017_L_0.644091131456_I_0.561137254902.jpg,Top uncertainty,,,
solar_Sat_Jun_24_13__22__8_2017_L_0.0444278743145_I_0.830956862745.jpg,0.044427875,0.22125153,0.031896483,0.8309569,0.176823655,0.16878182,0.27372125,0.10493943,0,0.15873443,0.28376865,0.12503423,0,0.1157389622351329,0.3267640977648671,0.2110251355297341,0,0.0564954345431515,0.3860076254568485,0.329512190913697,0,0.0,0.4856682694090279,0.4856682694090279,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Sat_Jun_24_13__22__8_2017_L_0.0444278743145_I_0.830956862745.jpg,Top uncertainty,,,
solar_Wed_Jun_14_12__5__20_2017_L_0.180202137434_I_0.810941176471.jpg,0.18020214,0.21234685,0.03137666,0.81094116,0.03214470999999999,0.16073224,0.26396146,0.103229225,1,0.1508486,0.2738451,0.12299651,1,0.1085537865456528,0.3161399134543471,0.2075861269086943,1,0.0502757315304788,0.3744179684695211,0.3241422369390422,1,0.0,0.4724544750275008,0.4724544750275008,1,E:\PV_RL_Project\data\raw\PanelImages\solar_Wed_Jun_14_12__5__20_2017_L_0.180202137434_I_0.810941176471.jpg,Top uncertainty,,,
