coverage,retained_n,retained_mae,retained_rmse,method,risk_col
0.1,686,0.0170161166177842,0.0347309648903463,Raw MC,raw_mc_width
0.15,1029,0.017712100219067,0.0344130881609816,Raw MC,raw_mc_width
0.2,1372,0.0185139534779395,0.0356304685749814,Raw MC,raw_mc_width
0.25,1716,0.0196908160953094,0.0384064036932458,Raw MC,raw_mc_width
0.3,2059,0.020391964650627,0.043320828140494,Raw MC,raw_mc_width
0.35,2402,0.0205425768576686,0.0426806148891282,Raw MC,raw_mc_width
0.4,2745,0.0209485074284189,0.0433722304382048,Raw MC,raw_mc_width
0.45,3088,0.0213415714058257,0.0435101923696829,Raw MC,raw_mc_width
0.5,3432,0.0221586709899592,0.0444866134995305,Raw MC,raw_mc_width
0.55,3775,0.0229659687479046,0.0453819720908995,Raw MC,raw_mc_width
0.6,4118,0.0237816226175886,0.0463960748192102,Raw MC,raw_mc_width
0.65,4461,0.0246109192081551,0.0479078630565341,Raw MC,raw_mc_width
0.7000000000000001,4804,0.0255046841332493,0.0495860632139188,Raw MC,raw_mc_width
0.75,5148,0.0263627248583819,0.050492413431683,Raw MC,raw_mc_width
0.8,5491,0.0277906008314423,0.0531221013620544,Raw MC,raw_mc_width
0.85,5834,0.0292583307666181,0.0563584245428635,Raw MC,raw_mc_width
0.9,6177,0.0303929690690059,0.0580839489752741,Raw MC,raw_mc_width
0.95,6520,0.0316896210714187,0.0595216718157907,Raw MC,raw_mc_width
1.0,6864,0.0339580097535474,0.06399190454009,Raw MC,raw_mc_width
0.1,686,0.0116042983034985,0.0187426839388781,Split CP,split_width
0.15,1029,0.0134721105572497,0.0225182768741504,Split CP,split_width
0.2,1372,0.0158062274978432,0.0315742142715037,Split CP,split_width
0.25,1716,0.0188219900401864,0.0439684210647389,Split CP,split_width
0.3,2059,0.0215805549663526,0.0468954910426619,Split CP,split_width
0.35,2402,0.024280644059313,0.0497586496459181,Split CP,split_width
0.4,2745,0.0258904113236684,0.0521533491287315,Split CP,split_width
0.45,3088,0.0261242426577623,0.0527512212263078,Split CP,split_width
0.5,3432,0.0259166767386858,0.0520436286808394,Split CP,split_width
0.55,3775,0.027082506810588,0.0537918393795589,Split CP,split_width
0.6,4118,0.0291905860573506,0.0571883558262588,Split CP,split_width
0.65,4461,0.0308254161486819,0.0595314177356884,Split CP,split_width
0.7000000000000001,4804,0.0315509992016798,0.0601580660998984,Split CP,split_width
0.75,5148,0.0328193339245085,0.0624259710585863,Split CP,split_width
0.8,5491,0.0338644927114114,0.0640913213213027,Split CP,split_width
0.85,5834,0.0350778326858347,0.0661072429933165,Split CP,split_width
0.9,6177,0.0358120367829609,0.0667965694651787,Split CP,split_width
0.95,6520,0.0348139154629371,0.0653106353295203,Split CP,split_width
1.0,6864,0.0339580097535474,0.06399190454009,Split CP,split_width
0.1,686,0.0160926810641399,0.0262465565497544,Pred-L-Mondrian CP,pred_l_mondrian_width
0.15,1029,0.0156453805619047,0.0256442431760953,Pred-L-Mondrian CP,pred_l_mondrian_width
0.2,1372,0.0159592829131195,0.0263025086829119,Pred-L-Mondrian CP,pred_l_mondrian_width
0.25,1716,0.0147679780529545,0.0242287606729356,Pred-L-Mondrian CP,pred_l_mondrian_width
0.3,2059,0.0145829167769305,0.0241854838381229,Pred-L-Mondrian CP,pred_l_mondrian_width
0.35,2402,0.0150423081550666,0.0250282698223684,Pred-L-Mondrian CP,pred_l_mondrian_width
0.4,2745,0.0161414631676652,0.0294796258729091,Pred-L-Mondrian CP,pred_l_mondrian_width
