x_bin,y_bin,z_mean,count,x_center,y_center
"(-0.001, 0.0714]","(-0.001, 0.1]",0.02693981780287462,327,0.0352,0.0495
"(-0.001, 0.0714]","(0.1, 0.2]",0.026572004727559998,425,0.0352,0.15000000000000002
"(-0.001, 0.0714]","(0.2, 0.3]",0.019916848328504533,662,0.0352,0.25
"(-0.001, 0.0714]","(0.3, 0.4]",0.021513886040288203,517,0.0352,0.35
"(-0.001, 0.0714]","(0.4, 0.5]",0.02617751466585915,213,0.0352,0.45
"(-0.001, 0.0714]","(0.5, 0.6]",0.03705781960884615,182,0.0352,0.55
"(-0.001, 0.0714]","(0.6, 0.7]",0.04236861196608696,115,0.0352,0.6499999999999999
"(-0.001, 0.0714]","(0.7, 0.8]",0.03964888260420382,157,0.0352,0.75
"(-0.001, 0.0714]","(0.8, 0.9]",0.03834470753703703,54,0.0352,0.8500000000000001
"(-0.001, 0.0714]","(0.9, 1.0]",,6,0.0352,0.95
"(0.0714, 0.143]","(-0.001, 0.1]",0.02984828148979592,98,0.10719999999999999,0.0495
"(0.0714, 0.143]","(0.1, 0.2]",0.02259710792964824,199,0.10719999999999999,0.15000000000000002
"(0.0714, 0.143]","(0.2, 0.3]",0.022367356952380953,231,0.10719999999999999,0.25
"(0.0714, 0.143]","(0.3, 0.4]",0.029544367456410255,195,0.10719999999999999,0.35
"(0.0714, 0.143]","(0.4, 0.5]",0.022269088416666666,144,0.10719999999999999,0.45
"(0.0714, 0.143]","(0.5, 0.6]",0.03717455890476191,63,0.10719999999999999,0.55
"(0.0714, 0.143]","(0.6, 0.7]",0.027593877375,88,0.10719999999999999,0.6499999999999999
"(0.0714, 0.143]","(0.7, 0.8]",0.040392640298245616,57,0.10719999999999999,0.75
"(0.0714, 0.143]","(0.8, 0.9]",,8,0.10719999999999999,0.8500000000000001
"(0.0714, 0.143]","(0.9, 1.0]",,2,0.10719999999999999,0.95
"(0.143, 0.214]","(-0.001, 0.1]",0.05780941505797101,69,0.1785,0.0495
