x_bin,y_bin,z_mean,count,x_center,y_center
"(-0.001, 0.0556]","(-0.001, 0.0833]",0.02998751259182796,186,0.027299999999999998,0.04115
"(-0.001, 0.0556]","(0.0833, 0.167]",0.023822751724192546,322,0.027299999999999998,0.12515
"(-0.001, 0.0556]","(0.167, 0.25]",0.02336313587521728,382,0.027299999999999998,0.20850000000000002
"(-0.001, 0.0556]","(0.25, 0.333]",0.01716846086914122,524,0.027299999999999998,0.2915
"(-0.001, 0.0556]","(0.333, 0.417]",0.02268545946018971,311,0.027299999999999998,0.375
"(-0.001, 0.0556]","(0.417, 0.5]",0.02564850929426316,152,0.027299999999999998,0.4585
"(-0.001, 0.0556]","(0.5, 0.583]",0.03654218840558621,145,0.027299999999999998,0.5415
"(-0.001, 0.0556]","(0.583, 0.667]",0.03893976110804598,87,0.027299999999999998,0.625
"(-0.001, 0.0556]","(0.667, 0.75]",0.046053826146296294,108,0.027299999999999998,0.7085
"(-0.001, 0.0556]","(0.75, 0.833]",0.038509470843551406,107,0.027299999999999998,0.7915
"(-0.001, 0.0556]","(0.833, 0.917]",0.04282788948636363,22,0.027299999999999998,0.875
"(-0.001, 0.0556]","(0.917, 1.0]",,1,0.027299999999999998,0.9585
"(0.0556, 0.111]","(-0.001, 0.0833]",0.0293586396185567,97,0.0833,0.04115
"(0.0556, 0.111]","(0.0833, 0.167]",0.028547036039370078,127,0.0833,0.12515
"(0.0556, 0.111]","(0.167, 0.25]",0.02220877934433962,212,0.0833,0.20850000000000002
"(0.0556, 0.111]","(0.25, 0.333]",0.028700038444444444,171,0.0833,0.2915
"(0.0556, 0.111]","(0.333, 0.417]",0.0313259946779661,118,0.0833,0.375
"(0.0556, 0.111]","(0.417, 0.5]",0.030033752508196718,61,0.0833,0.4585
"(0.0556, 0.111]","(0.5, 0.583]",0.05160678239393939,33,0.0833,0.5415
"(0.0556, 0.111]","(0.583, 0.667]",0.032849359673913045,46,0.0833,0.625
"(0.0556, 0.111]","(0.667, 0.75]",0.034733526077777785,45,0.0833,0.7085
"(0.0556, 0.111]","(0.75, 0.833]",0.03561849373913044,23,0.0833,0.7915
"(0.0556, 0.111]","(0.833, 0.917]",,6,0.0833,0.875
"(0.0556, 0.111]","(0.917, 1.0]",,3,0.0833,0.9585
"(0.111, 0.167]","(-0.001, 0.0833]",0.04113642509523809,42,0.139,0.04115
"(0.111, 0.167]","(0.0833, 0.167]",0.023894755700000003,70,0.139,0.12515
