filename,timestamp,date,top_level_role,cv_validation_fold
solar_Fri_Jun_16_10__0__11_2017_L_0.906153208302_I_0.321592156863.jpg,2017-06-16T10:00:11,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__16_2017_L_0.903081697073_I_0.293192156863.jpg,2017-06-16T10:00:16,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__1_2017_L_0.916698044034_I_0.39577254902.jpg,2017-06-16T10:00:01,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__21_2017_L_0.903081697073_I_0.293192156863.jpg,2017-06-16T10:00:21,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__26_2017_L_0.896087391118_I_0.27462745098.jpg,2017-06-16T10:00:26,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__31_2017_L_0.896087391118_I_0.27462745098.jpg,2017-06-16T10:00:31,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__36_2017_L_0.894974574172_I_0.269141176471.jpg,2017-06-16T10:00:36,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__41_2017_L_0.894974574172_I_0.269141176471.jpg,2017-06-16T10:00:41,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__46_2017_L_0.890988502987_I_0.261278431373.jpg,2017-06-16T10:00:46,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__51_2017_L_0.890988502987_I_0.261278431373.jpg,2017-06-16T10:00:51,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__56_2017_L_0.894472593275_I_0.255411764706.jpg,2017-06-16T10:00:56,2017-06-16,model_development,3
solar_Fri_Jun_16_10__0__6_2017_L_0.906153208302_I_0.321592156863.jpg,2017-06-16T10:00:06,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__17_2017_L_0.898027314112_I_0.284274509804.jpg,2017-06-16T10:10:17,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__28_2017_L_0.892881337186_I_0.283650980392.jpg,2017-06-16T10:10:28,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__33_2017_L_0.890043067255_I_0.289560784314.jpg,2017-06-16T10:10:33,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__38_2017_L_0.890043067255_I_0.289560784314.jpg,2017-06-16T10:10:38,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__43_2017_L_0.893132408441_I_0.295105882353.jpg,2017-06-16T10:10:43,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__48_2017_L_0.893132408441_I_0.295105882353.jpg,2017-06-16T10:10:48,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__53_2017_L_0.888253000375_I_0.303556862745.jpg,2017-06-16T10:10:53,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__58_2017_L_0.888253000375_I_0.303556862745.jpg,2017-06-16T10:10:58,2017-06-16,model_development,3
solar_Fri_Jun_16_10__10__7_2017_L_0.899719872494_I_0.284184313725.jpg,2017-06-16T10:10:07,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__13_2017_L_0.894686860216_I_0.317968627451.jpg,2017-06-16T10:11:13,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__18_2017_L_0.894686860216_I_0.317968627451.jpg,2017-06-16T10:11:18,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__23_2017_L_0.89151039973_I_0.325611764706.jpg,2017-06-16T10:11:23,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__28_2017_L_0.89151039973_I_0.325611764706.jpg,2017-06-16T10:11:28,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__33_2017_L_0.869426183712_I_0.32988627451.jpg,2017-06-16T10:11:33,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__38_2017_L_0.869426183712_I_0.32988627451.jpg,2017-06-16T10:11:38,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__3_2017_L_0.89455509959_I_0.313443137255.jpg,2017-06-16T10:11:03,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__43_2017_L_0.89157644514_I_0.348090196078.jpg,2017-06-16T10:11:43,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__48_2017_L_0.89157644514_I_0.348090196078.jpg,2017-06-16T10:11:48,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__53_2017_L_0.892102348761_I_0.339937254902.jpg,2017-06-16T10:11:53,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__58_2017_L_0.892102348761_I_0.339937254902.jpg,2017-06-16T10:11:58,2017-06-16,model_development,3
solar_Fri_Jun_16_10__11__8_2017_L_0.89455509959_I_0.313443137255.jpg,2017-06-16T10:11:08,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__14_2017_L_0.893979293676_I_0.326129411765.jpg,2017-06-16T10:12:14,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__19_2017_L_0.893979293676_I_0.326129411765.jpg,2017-06-16T10:12:19,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__24_2017_L_0.896888241035_I_0.317454901961.jpg,2017-06-16T10:12:24,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__29_2017_L_0.896888241035_I_0.317454901961.jpg,2017-06-16T10:12:29,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__34_2017_L_0.894717539489_I_0.310090196078.jpg,2017-06-16T10:12:34,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__39_2017_L_0.894717539489_I_0.310090196078.jpg,2017-06-16T10:12:39,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__3_2017_L_0.899858300492_I_0.354243137255.jpg,2017-06-16T10:12:03,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__44_2017_L_0.894957983193_I_0.2996.jpg,2017-06-16T10:12:44,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__49_2017_L_0.894957983193_I_0.2996.jpg,2017-06-16T10:12:49,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__54_2017_L_0.896349590621_I_0.288337254902.jpg,2017-06-16T10:12:54,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__59_2017_L_0.896349590621_I_0.288337254902.jpg,2017-06-16T10:12:59,2017-06-16,model_development,3
solar_Fri_Jun_16_10__12__9_2017_L_0.899858300492_I_0.354243137255.jpg,2017-06-16T10:12:09,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__14_2017_L_0.894433264363_I_0.27671372549.jpg,2017-06-16T10:13:14,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__19_2017_L_0.894433264363_I_0.27671372549.jpg,2017-06-16T10:13:19,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__24_2017_L_0.890601799284_I_0.269388235294.jpg,2017-06-16T10:13:24,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__29_2017_L_0.890601799284_I_0.269388235294.jpg,2017-06-16T10:13:29,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__34_2017_L_0.900050697841_I_0.262996078431.jpg,2017-06-16T10:13:34,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__39_2017_L_0.900050697841_I_0.262996078431.jpg,2017-06-16T10:13:39,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__44_2017_L_0.898318642608_I_0.254929411765.jpg,2017-06-16T10:13:44,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__4_2017_L_0.896753228641_I_0.281184313725.jpg,2017-06-16T10:13:04,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__50_2017_L_0.898318642608_I_0.254929411765.jpg,2017-06-16T10:13:50,2017-06-16,model_development,3
solar_Fri_Jun_16_10__13__9_2017_L_0.896753228641_I_0.281184313725.jpg,2017-06-16T10:13:09,2017-06-16,model_development,3
solar_Fri_Jun_16_10__14__0_2017_L_0.901083794239_I_0.245325490196.jpg,2017-06-16T10:14:00,2017-06-16,model_development,3
solar_Fri_Jun_16_10__14__10_2017_L_0.898905511301_I_0.242211764706.jpg,2017-06-16T10:14:10,2017-06-16,model_development,3
solar_Fri_Jun_16_10__14__20_2017_L_0.897569385754_I_0.232007843137.jpg,2017-06-16T10:14:20,2017-06-16,model_development,3
solar_Fri_Jun_16_10__14__30_2017_L_0.9016254369_I_0.231129411765.jpg,2017-06-16T10:14:30,2017-06-16,model_development,3
solar_Fri_Jun_16_10__14__40_2017_L_0.899119908164_I_0.225466666667.jpg,2017-06-16T10:14:40,2017-06-16,model_development,3
solar_Fri_Jun_16_10__14__50_2017_L_0.89346221065_I_0.219898039216.jpg,2017-06-16T10:14:50,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__0_2017_L_0.898416719443_I_0.216725490196.jpg,2017-06-16T10:15:00,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__10_2017_L_0.895455633064_I_0.213062745098.jpg,2017-06-16T10:15:10,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__20_2017_L_0.894928823959_I_0.209643137255.jpg,2017-06-16T10:15:20,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__26_2017_L_0.891213072588_I_0.207349019608.jpg,2017-06-16T10:15:26,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__31_2017_L_0.891213072588_I_0.207349019608.jpg,2017-06-16T10:15:31,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__36_2017_L_0.890459889865_I_0.210792156863.jpg,2017-06-16T10:15:36,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__41_2017_L_0.890459889865_I_0.210792156863.jpg,2017-06-16T10:15:41,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__46_2017_L_0.888888888889_I_0.215647058824.jpg,2017-06-16T10:15:46,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__51_2017_L_0.888888888889_I_0.215647058824.jpg,2017-06-16T10:15:51,2017-06-16,model_development,3
solar_Fri_Jun_16_10__15__56_2017_L_0.884664333439_I_0.221858823529.jpg,2017-06-16T10:15:56,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__11_2017_L_0.881412005457_I_0.229960784314.jpg,2017-06-16T10:16:11,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__16_2017_L_0.889122326998_I_0.240788235294.jpg,2017-06-16T10:16:16,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__1_2017_L_0.884664333439_I_0.221858823529.jpg,2017-06-16T10:16:01,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__21_2017_L_0.889122326998_I_0.240788235294.jpg,2017-06-16T10:16:21,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__26_2017_L_0.882905943838_I_0.257376470588.jpg,2017-06-16T10:16:26,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__31_2017_L_0.882905943838_I_0.257376470588.jpg,2017-06-16T10:16:31,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__36_2017_L_0.882947645778_I_0.273850980392.jpg,2017-06-16T10:16:36,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__41_2017_L_0.882947645778_I_0.273850980392.jpg,2017-06-16T10:16:41,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__46_2017_L_0.883689304856_I_0.294141176471.jpg,2017-06-16T10:16:46,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__51_2017_L_0.883689304856_I_0.294141176471.jpg,2017-06-16T10:16:51,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__57_2017_L_0.880432166787_I_0.309611764706.jpg,2017-06-16T10:16:57,2017-06-16,model_development,3
solar_Fri_Jun_16_10__16__6_2017_L_0.881412005457_I_0.229960784314.jpg,2017-06-16T10:16:06,2017-06-16,model_development,3
solar_Fri_Jun_16_10__17__17_2017_L_0.841221344892_I_0.410733333333.jpg,2017-06-16T10:17:17,2017-06-16,model_development,3
solar_Fri_Jun_16_10__17__27_2017_L_0.896201673073_I_0.520352941176.jpg,2017-06-16T10:17:27,2017-06-16,model_development,3
solar_Fri_Jun_16_10__17__37_2017_L_0.86987566699_I_0.456396078431.jpg,2017-06-16T10:17:37,2017-06-16,model_development,3
solar_Fri_Jun_16_10__17__47_2017_L_0.865530853227_I_0.45897254902.jpg,2017-06-16T10:17:47,2017-06-16,model_development,3
solar_Fri_Jun_16_10__17__57_2017_L_0.862742593465_I_0.491219607843.jpg,2017-06-16T10:17:57,2017-06-16,model_development,3
solar_Fri_Jun_16_10__17__7_2017_L_0.831646363841_I_0.331258823529.jpg,2017-06-16T10:17:07,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__17_2017_L_0.871270896418_I_0.437733333333.jpg,2017-06-16T10:18:17,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__28_2017_L_0.845937740722_I_0.432725490196.jpg,2017-06-16T10:18:28,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__33_2017_L_0.900292915419_I_0.473937254902.jpg,2017-06-16T10:18:33,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__38_2017_L_0.900292915419_I_0.473937254902.jpg,2017-06-16T10:18:38,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__43_2017_L_0.903769144302_I_0.446556862745.jpg,2017-06-16T10:18:43,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__48_2017_L_0.903769144302_I_0.446556862745.jpg,2017-06-16T10:18:48,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__53_2017_L_0.876481149013_I_0.349490196078.jpg,2017-06-16T10:18:53,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__58_2017_L_0.876481149013_I_0.349490196078.jpg,2017-06-16T10:18:58,2017-06-16,model_development,3
solar_Fri_Jun_16_10__18__7_2017_L_0.89427183943_I_0.509556862745.jpg,2017-06-16T10:18:07,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__13_2017_L_0.789028516191_I_0.357003921569.jpg,2017-06-16T10:19:13,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__18_2017_L_0.789028516191_I_0.357003921569.jpg,2017-06-16T10:19:18,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__23_2017_L_0.818263414269_I_0.419439215686.jpg,2017-06-16T10:19:23,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__28_2017_L_0.818263414269_I_0.419439215686.jpg,2017-06-16T10:19:28,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__33_2017_L_0.860379986958_I_0.529223529412.jpg,2017-06-16T10:19:33,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__38_2017_L_0.860379986958_I_0.529223529412.jpg,2017-06-16T10:19:38,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__3_2017_L_0.865876034907_I_0.350509803922.jpg,2017-06-16T10:19:03,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__43_2017_L_0.856570020736_I_0.542780392157.jpg,2017-06-16T10:19:43,2017-06-16,model_development,3
solar_Fri_Jun_16_10__19__48_2017_L_0.856570020736_I_0.542780392157.jpg,2017-06-16T10:19:48,2017-06-16,model_development,3
